activity_type,date_posted,year,activity_title,equipmend_used,indoor_outdoor,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_cadence,max_cadence,avg_pace,best_pace,elev_gain,elev_loss
cycling,01/08/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,41.33,"2,261",02:19:57,--,--,0,--,--,17.7,31.5,"1,027","1,026"
running,27/07/2015,2015,Untitled,Nike Running Trainers,outdoor,0,--,00:02.3,114,114,0,--,--,--,--,--,--
cycling,27/07/2015,2015,Indoor cycling,Spinner Bike,indoor,18.66,678,45:28:00,155,176,0,--,--,24.6,--,--,--
running,27/07/2015,2015,Untitled,Nike Running Trainers,outdoor,0,6,00:25.4,127,131,0,--,--,--,--,--,--
cycling,26/07/2015,2015,Indoor cycling,Spinner Bike,indoor,19.89,713,51:51:00,148,182,0,--,--,23,--,--,--
cycling,25/07/2015,2015,Indoor cycling,Spinner Bike,indoor,18.92,719,47:36:00,156,181,0,--,--,23.8,--,--,--
cycling,22/07/2015,2015,Indoor cycling,Spinner Bike,indoor,21.5,755,58:46:00,131,182,0,--,--,22,--,--,--
cycling,20/07/2015,2015,Indoor cycling,Spinner Bike,indoor,20.1,807,56:35:00,151,178,0,--,--,21.3,--,--,--
cycling,19/07/2015,2015,Indoor cycling,Spinner Bike,indoor,20.12,770,52:30:00,153,180,0,--,--,23,--,--,--
cycling,15/07/2015,2015,Indoor cycling,Spinner Bike,indoor,20.2,822,01:00:55,145,178,0,--,--,19.9,--,--,--
cycling,13/07/2015,2015,Indoor cycling,Spinner Bike,indoor,19.5,694,48:45:00,151,175,0,--,--,24,--,--,--
cycling,12/07/2015,2015,Indoor cycling,Spinner Bike,indoor,19.5,646,43:46:00,153,177,0,--,--,26.7,--,--,--
cycling,11/07/2015,2015,Indoor cycling,Spinner Bike,indoor,19,747,51:24:00,152,179,0,--,--,22.2,--,--,--
running,08/07/2015,2015,Curfew Run,Nike Running Trainers,outdoor,1.32,126,07:45.5,166,179,0,--,--,05:53,04:18,80,68
cycling,08/07/2015,2015,Indoor cycling,Spinner Bike,indoor,18,635,42:52:00,153,176,0,--,--,25.2,--,--,--
cycling,07/07/2015,2015,Indoor cycling,Spinner Bike,indoor,17.5,769,55:45:00,143,173,0,--,--,18.8,--,--,--
cycling,06/07/2015,2015,Indoor cycling,Spinner Bike,indoor,19.5,842,01:00:37,144,179,0,--,--,19.3,--,--,--
cycling,04/07/2015,2015,Indoor cycling,Spinner Bike,indoor,18.68,712,49:27:00,151,176,0,--,--,22.7,--,--,--
cycling,01/07/2015,2015,Indoor cycling,Spinner Bike,indoor,21.2,859,01:00:45,152,184,0,--,--,20.9,--,--,--
cycling,29/06/2015,2015,Indoor cycling,Spinner Bike,indoor,19.5,691,50:26:00,150,177,0,--,--,23.2,--,--,--
cycling,28/06/2015,2015,Indoor cycling,Spinner Bike,indoor,19.5,866,59:16:00,155,180,0,--,--,19.7,--,--,--
cycling,27/06/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,24.52,"1,290",01:28:02,--,--,0,--,--,16.7,29.7,737,735
running,27/06/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,24.91,"1,073",01:52:25,137,188,0,--,--,04:31,01:41,857,851
cycling,23/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,650,45:43:00,151,170,0,--,--,--,--,--,--
cycling,22/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,739,51:11:00,152,175,0,--,--,--,--,--,--
cycling,20/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,732,49:42:00,153,178,0,--,--,--,--,--,--
cycling,16/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,655,47:24:00,150,183,0,--,--,--,--,--,--
cycling,15/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,699,53:20:00,146,176,0,--,--,--,--,--,--
cycling,13/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,684,46:51:00,154,177,0,--,--,--,--,--,--
cycling,12/06/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,29.21,"1,567",01:38:39,--,--,0,--,--,17.8,34.1,801,800
cycling,09/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,662,46:04:00,154,186,0,--,--,--,--,--,--
cycling,08/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,628,39:46:00,162,181,0,--,--,--,--,--,--
cycling,06/06/2015,2015,Indoor cycling,Spinner Bike,indoor,0,663,42:33:00,159,186,0,--,--,--,--,--,--
cycling,02/06/2015,2015,Indoor cycling,Spinner Bike,indoor,1.55,182,24:37:00,--,--,0,--,--,3.8,--,--,--
strength_training,02/06/2015,2015,Strength Training,none,indoor,"7,000",259,30:00:00,--,--,0,--,--,02:09,--,--,--
lap_swimming,27/05/2015,2015,Swimming,none,indoor,650,616,50:00:00,--,--,0,--,--,07:02,01:00:00,--,--
lap_swimming,26/05/2015,2015,Swimming,none,indoor,200,370,30:00:00,--,--,0,--,--,13:43,01:00:00,--,--
